"order_id","order_date","customer_id","customer_name","region","city","product_id","product_name","category","price","quantity","discount","payment_method","order_status","revenue"
"O10001","2024-05-17","C437","John Sanford","EAST","Delhi","P7122","t-shirt","fashion","3330.00","2","15.00","COD","Completed","5661.00"
"O10002","2024-09-06","C458","Bradley Higgins","SOUTH","Delhi","P5452","jeans","fashion","4927.00","5","15.00","UPI","Returned","20939.75"
"O10002","2024-12-09","C257","Brian Peterson","WEST","Bangalore","P8321","chair","home","1411.00","3","15.00","COD","Completed","3598.05"
"O10006","2024-12-26","C455","William Haynes DDS","EAST","Kolkata","P8763","headphones","electronics","45199.00","3","5.00","Card","Completed","128817.15"
"O10007","2024-02-21","C334","xavier rice","SOUTH","Bangalore","P7123","monitor","electronics","67132.00","3","15.00","UPI","Cancelled","171186.60"
"O10011","2024-12-12","C425","Bob Hernandez","EAST","Kolkata","P2747","sofa","home","3711.00","4","20.00","Card","Cancelled","11875.20"
"O10013","2024-03-16","C218","Mitchell Yang","SOUTH","Delhi","P3940","laptop","electronics","11609.00","2","10.00","COD","Returned","20896.20"
"O10016","2024-06-06","C258","Dorothy Bailey","EAST","Hyderabad","P2215","laptop","electronics","51334.00","1","15.00","COD","Completed","43633.90"
"O10016","2024-11-05","C458","Benjamin Martin","WEST","Delhi","P8643","lamp","home","8958.00","5","10.00","UPI","Cancelled","40311.00"
"O10017","2024-04-04","C356","Jose Clark","EAST","Hyderabad","P8288","lamp","home","7453.00","4","0.00","COD","Completed","29812.00"
"O10018","2024-07-26","C365","KRISTINA BROWN","NORTH","Unknown","P1402","monitor","electronics","5723.00","50","15.00","UPI","Completed","243227.50"
"O10019","2024-02-06","C121","Joshua Butler","NORTH","Chennai","P2200","shoes","fashion","2798.00","3","15.00","Card","Returned","7134.90"
"O10019","2024-08-23","C167","Rebecca Mills","SOUTH","Chennai","P3758","chair","home","9626.00","4","15.00","COD","Returned","32728.40"
"O10019","2024-08-21","C136","Susan Goodman","NORTH","Bangalore","P5510","phone","electronics","54372.00","3","0.00","Card","Cancelled","163116.00"
"O10022","2024-07-12","C301","Gwendolyn Lopez","NORTH","Unknown","P2735","headphones","electronics","35291.00","4","20.00","COD","Returned","112931.20"
"O10023","2024-07-08","C249","Kathleen Pugh","NORTH","Delhi","P6228","shoes","fashion","2638.00","2","0.00","Card","Cancelled","5276.00"
"O10024","2024-02-27","C158","Sarah Lopez","SOUTH","Mumbai","P1046","sofa","home","1062.00","1","0.00","COD","Completed","1062.00"
"O10026","2024-12-25","C268","Jamie Burns","EAST","Delhi","P7423","laptop","electronics","76962.00","3","15.00","Card","Returned","196253.10"
"O10028","2024-03-21","C448","Jennifer Lee","WEST","Hyderabad","P5895","sofa","home","7993.00","4","0.00","UPI","Returned","31972.00"
"O10029","2024-11-27","C265","Steven Casey","NORTH","Bangalore","P2079","lamp","home","9278.00","3","5.00","COD","Cancelled","26442.30"
"O10030","2024-03-21","C485","Manuel Manning","SOUTH","Delhi","P2983","jacket","fashion","1005.00","2","5.00","COD","Completed","1909.50"
"O10030","2024-07-24","C364","Thomas Brooks","SOUTH","Mumbai","P3802","phone","electronics","21168.00","5","20.00","UPI","Completed","84672.00"
"O10031","2024-12-05","C124","Nancy Randall","EAST","Chennai","P2392","chair","home","7805.00","3","5.00","UPI","Completed","22244.25"
"O10031","2024-04-28","C476","Nathan Sims","SOUTH","Mumbai","P8114","monitor","electronics","24593.00","4","15.00","COD","Returned","83616.20"
"O10032","2024-05-19","C219","haley warren","WEST","Delhi","P6257","lamp","home","5786.00","2","15.00","Card","Cancelled","9836.20"
"O10033","2024-05-22","C211","Jessica Freeman","WEST","Chennai","P2286","headphones","electronics","32363.00","4","10.00","UPI","Completed","116506.80"
"O10033","2024-09-29","C455","Mark Vaughn","EAST","Chennai","P5063","jeans","fashion","955.00","2","0.00","UPI","Cancelled","1910.00"
"O10037","2024-09-28","C345","Justin Robbins","NORTH","Chennai","P6751","sofa","home","9337.00","2","5.00","UPI","Completed","17740.30"
"O10037","2024-01-12","C117","Nicholas Boyd","EAST","Hyderabad","P8074","laptop","electronics","59957.00","5","0.00","Card","Returned","299785.00"
"O10038","2024-05-31","C384","James Ray","SOUTH","Mumbai","P4121","sofa","home","1487.00","3","10.00","UPI","Completed","4014.90"
"O10038","2024-09-17","C107","Amanda Crawford","EAST","Unknown","P9576","t-shirt","fashion","767.00","3","0.00","COD","Cancelled","2301.00"
"O10039","2024-07-30","C387","Alicia Grimes","NORTH","Bangalore","P4900","lamp","home","2517.00","3","15.00","COD","Returned","6418.35"
"O10040","2024-09-07","C179","misty fritz","WEST","Mumbai","P1178","phone","electronics","65586.00","5","0.00","COD","Completed","327930.00"
"O10040","2024-11-27","C154","David Moreno","NORTH","Delhi","P2956","chair","home","4334.00","5","0.00","UPI","Returned","21670.00"
