order_id,order_date,customer_id,customer_name,region,city,product_id,product_name,category,price,quantity,discount,payment_method,order_status,revenue
O10002,2024-09-06,C458,"Bradley Higgins",South,Delhi,P5452,Jeans,Fashion,4927.00,5,15.00,UPI,Returned,0.00
O10002,2024-12-09,C257,"Brian Peterson",West,Bangalore,P8321,Chair,Home,1411.00,3,15.00,COD,Completed,3598.05
O10006,2024-12-26,C455,"William Haynes Dds",East,Kolkata,P8763,Headphones,Electronics,45199.00,3,5.00,Card,Completed,128817.15
O10007,2024-02-21,C334,"Xavier Rice",South,Bangalore,P7123,Monitor,Electronics,67132.00,3,15.00,UPI,Cancelled,0.00
O10011,2024-12-12,C425,"Bob Hernandez",East,Kolkata,P2747,Sofa,Home,3711.00,4,20.00,Card,Cancelled,0.00
O10013,2024-03-16,C218,"Mitchell Yang",South,Delhi,P3940,Laptop,Electronics,11609.00,2,10.00,COD,Returned,0.00
O10016,2024-06-06,C258,"Dorothy Bailey",East,Hyderabad,P2215,Laptop,Electronics,51334.00,1,15.00,COD,Completed,43633.90
O10016,2024-11-05,C458,"Benjamin Martin",West,Delhi,P8643,Lamp,Home,8958.00,5,10.00,UPI,Cancelled,0.00
O10017,2024-04-04,C356,"Jose Clark",East,Hyderabad,P8288,Lamp,Home,7453.00,4,0.00,COD,Completed,29812.00
O10018,2024-07-26,C365,"Kristina Brown",North,Unknown,P1402,Monitor,Electronics,5723.00,50,15.00,UPI,Completed,243227.50
O10019,2024-02-06,C121,"Joshua Butler",North,Chennai,P2200,Shoes,Fashion,2798.00,3,15.00,Card,Returned,0.00
O10019,2024-08-23,C167,"Rebecca Mills",South,Chennai,P3758,Chair,Home,9626.00,4,15.00,COD,Returned,0.00
O10019,2024-08-21,C136,"Susan Goodman",North,Bangalore,P5510,Phone,Electronics,54372.00,3,0.00,Card,Cancelled,0.00
O10022,2024-07-12,C301,"Gwendolyn Lopez",North,Unknown,P2735,Headphones,Electronics,35291.00,4,20.00,COD,Returned,0.00
O10023,2024-07-08,C249,"Kathleen Pugh",North,Delhi,P6228,Shoes,Fashion,2638.00,2,0.00,Card,Cancelled,0.00
O10024,2024-02-27,C158,"Sarah Lopez",South,Mumbai,P1046,Sofa,Home,1062.00,1,0.00,COD,Completed,1062.00
O10026,2024-12-25,C268,"Jamie Burns",East,Delhi,P7423,Laptop,Electronics,76962.00,3,15.00,Card,Returned,0.00
O10028,2024-03-21,C448,"Jennifer Lee",West,Hyderabad,P5895,Sofa,Home,7993.00,4,0.00,UPI,Returned,0.00
O10029,2024-11-27,C265,"Steven Casey",North,Bangalore,P2079,Lamp,Home,9278.00,3,5.00,COD,Cancelled,0.00
O10030,2024-03-21,C485,"Manuel Manning",South,Delhi,P2983,Jacket,Fashion,1005.00,2,5.00,COD,Completed,1909.50
O10030,2024-07-24,C364,"Thomas Brooks",South,Mumbai,P3802,Phone,Electronics,21168.00,5,20.00,UPI,Completed,84672.00
O10031,2024-12-05,C124,"Nancy Randall",East,Chennai,P2392,Chair,Home,7805.00,3,5.00,UPI,Completed,22244.25
O10031,2024-04-28,C476,"Nathan Sims",South,Mumbai,P8114,Monitor,Electronics,24593.00,4,15.00,COD,Returned,0.00
O10032,2024-05-19,C219,"Haley Warren",West,Delhi,P6257,Lamp,Home,5786.00,2,15.00,Card,Cancelled,0.00
O10033,2024-05-22,C211,"Jessica Freeman",West,Chennai,P2286,Headphones,Electronics,32363.00,4,10.00,UPI,Completed,116506.80
O10033,2024-09-29,C455,"Mark Vaughn",East,Chennai,P5063,Jeans,Fashion,955.00,2,0.00,UPI,Cancelled,0.00
O10037,2024-09-28,C345,"Justin Robbins",North,Chennai,P6751,Sofa,Home,9337.00,2,5.00,UPI,Completed,17740.30
O10037,2024-01-12,C117,"Nicholas Boyd",East,Hyderabad,P8074,Laptop,Electronics,59957.00,5,0.00,Card,Returned,0.00
O10038,2024-05-31,C384,"James Ray",South,Mumbai,P4121,Sofa,Home,1487.00,3,10.00,UPI,Completed,4014.90
O10038,2024-09-17,C107,"Amanda Crawford",East,Unknown,P9576,T-Shirt,Fashion,767.00,3,0.00,COD,Cancelled,0.00
O10039,2024-07-30,C387,"Alicia Grimes",North,Bangalore,P4900,Lamp,Home,2517.00,3,15.00,COD,Returned,0.00
O10040,2024-09-07,C179,"Misty Fritz",West,Mumbai,P1178,Phone,Electronics,65586.00,5,0.00,COD,Completed,327930.00
O10040,2024-11-27,C154,"David Moreno",North,Delhi,P2956,Chair,Home,4334.00,5,0.00,UPI,Returned,0.00
O10041,2024-03-25,C279,"Jeffrey Stone",West,Unknown,P6879,T-Shirt,Fashion,3827.00,1,5.00,Card,Returned,0.00
O10042,2024-12-21,C225,"Michael Clark",West,Hyderabad,P5589,Lamp,Home,8698.00,3,15.00,Card,Cancelled,0.00
O10042,2024-09-14,C470,"Wendy Jones",South,Kolkata,P7268,Jacket,Fashion,2045.00,4,20.00,COD,Completed,6544.00
