order_id,order_date,customer_id,customer_name,region,city,product_id,product_name,category,price,quantity,discount,payment_method,order_status
O11675,2024-05-28,C147,"Elizabeth Turner",North,"Delhi ",P4814,headphones,Electronics,52400,5,0.0,COD,"Returned"
O12665,2024-10-06,C289,"April Huang",South,DELHI,P5386,jacket,Fashion,2299,4,20.0,COD,"Completed"
O13484,2024-03-22,C435,"Jonathan Cook",North,"Mumbai ",P7916,"Lamp ",Home,2566,5,20.0,COD,"Completed"
O18670,2024-09-16,C228,"  Darlene Estrada  ",North,Hyderabad,P4258,SHOES,Fashion,1963,117,10.0,Card,"Cancelled"
O19814,2024-09-27,C265,"Thomas Gutierrez",South,BANGALORE,P7932,LAPTOP,Electronics,74822,4,20.0,UPI,"Returned"
O21681,2024-05-22,C259,"Jennifer Dickerson",East,CHENNAI,P8953,TABLE,Home,1264,0,0.0,UPI,"Completed"
O13982,2024-05-22,C342,"  Samantha Braun  ",South," Chennai ",P5092,sofa,Home,2090,1,0.0,UPI,"Completed"
O10829,2024-10-11,C433,"Jennifer Chang",South," Mumbai",P8973,CHAIR,Home,6696,0,15.0,UPI,"Cancelled"
O19490,2024-01-21,C476,"  Lee Wall PhD  ",North,"Kolkata ",P2343," Laptop",Electronics,35828,2,5.0,Card,"Completed"
O14273,2024-08-07,C204,"Lisa Bray",West,Hyderabad,P3584," Lamp",Home,3792,5,,UPI,"Completed"
O20022,2024-05-08,C434,"Robert Thompson",West,DELHI,P2512," Lamp ",Home,3750,5,10.0,Card,"Cancelled"
O10059,2024-04-17,C270,"Kelly Hunter",South,"Kolkata ",P5088," T-Shirt ",Fashion,1713,2,0.0,UPI,"Completed"
O20169,2024-08-28,C483,"Pam Lamb",North,mumbai,P4269," Sofa",Home,4365,4,5.0,COD,"Cancelled"
O10388,2024-10-08,C437,"Adam Young",North,"Bangalore ",P6139," Phone",Electronics,39237,3,15.0,UPI,"Completed"
O16312,2024-07-25,C395,"ERIN COPELAND",West,"Kolkata ",P5844,"Chair ",Home,2341,3,5.0,UPI,"Returned"
O21098,2024-05-25,C483,"Thomas Harvey MD",North,DELHI,P6491,shoes,Fashion,2250,3,15.0,Card,"Completed"
O13681,2024-04-22,C201,"JENNIFER NICHOLSON",West,kolkata,P9486," Headphones",Electronics,57383,2,15.0,COD,"Completed"
O17479,2024-09-23,C168,"Tara Houston",North," Chennai ",P4919,Laptop,Electronics,67216,4,20.0,Card,"Cancelled"
O13842,2024-10-21,C239,"  Kristy Carrillo  ",South," Chennai ",P8814,lamp,Home,7183,5,5.0,Card,"Completed"
O16866,2024-01-14,C375,"Daniel Green",East," Mumbai",P8022,SHOES,Fashion,1545,4,0.0,UPI,"Returned"
O14263,2024-05-06,C294,"Albert Harris",East," Bangalore",P1333,"Laptop ",Electronics,34389,5,10.0,Card,"Completed"
O20969,2024-04-11,C158,"Phillip Moon",North," Mumbai ",P4978,monitor,Electronics,45888,3,0.0,UPI,"Cancelled"
O19273,2024-05-18,C500,"kaitlyn gonzalez",West,"Hyderabad ",P9817," T-Shirt",Fashion,4266,4,,Card,"Returned"
O15281,2024-05-21,C225,"MELISSA SUTTON",South,"Mumbai ",P1166,"Lamp ",Home,3775,4,20.0,UPI,"Returned"
O21798,2024-12-25,C308,"Benjamin Moore",East,chennai,P5438,Phone,Electronics,67031,2,0.0,Card,"Returned"
O15170,2024-05-20,C161,"Bradley Blake",North," Hyderabad ",P1893,"Phone ",Electronics,43829,3,20.0,COD,"Returned"
O11681,2024-03-01,C106,"Megan Duncan",North," Delhi",P7818,"Monitor ",Electronics,24887,1,0.0,UPI,"Completed"
O18562,2024-12-18,C294,"Carlos Villanueva",South,bangalore,P8699,Table,Fashion,1630,2,20.0,COD,"Completed"
O21518,2024-06-06,C332,"lauren rios",North," Bangalore ",P5728," Jacket",Fashion,1720,4,20.0,COD,"Completed"
O21465,2024-03-30,C306,"Mark Harrington MD",North," Delhi ",P9502," Lamp ",Home,9724,2,10.0,Card,"Cancelled"
O19591,2024-07-25,C323,"  Shawn Davis  ",South,bangalore,P1018," Jeans ",Fashion,800,3,5.0,UPI,"Completed"
O10889,2024-04-25,C196,"Gary Brewer",East,"Delhi ",P8560,shoes,Fashion,2460,4,5.0,COD,"Returned"
O21741,2024-06-01,C249,"Desiree Morales",West,MUMBAI,P9022,MONITOR,Electronics,59387,2,15.0,UPI,"Completed"
O15447,2024-01-19,C382,"Scott Kline",South," Hyderabad",P9229,"Jacket ",Fashion,3623,3,5.0,Card,"Completed"
O11634,2024-09-06,C369,"DAVID RICHARDSON",North,hyderabad,P1588,"Monitor ",Electronics,48065,5,15.0,UPI,"Cancelled"
O13728,2024-12-15,C482,"thomas collins",North,hyderabad,P3785,LAMP,Home,5106,1,15.0,COD,"Returned"
